neuropil,neuron,count
COURT_vnc_ABDNM,720575941546792884,464
COURT_vnc_ABDNM,720575941513981433,48
COURT_vnc_ABDNM,720575941589853950,61
COURT_vnc_ABDNM,720575941514053699,0
COURT_vnc_ABDNM,720575941622775292,0
COURT_vnc_ABDNM,720575941534222770,0
COURT_vnc_ABDNM,720575941514155843,380
COURT_vnc_ABDNM,720575941603009270,86
COURT_vnc_ABDNM,720575941480595139,41
COURT_vnc_ABDNM,720575941459415878,251
COURT_vnc_ABDNM,720575941433415200,387
COURT_vnc_ABDNM,720575941573971855,0
COURT_vnc_ABDNM,720575941643911032,7055
COURT_vnc_ABDNM,720575941450728314,0
COURT_vnc_ABDNM,720575941507904641,969
COURT_vnc_ABDNM,720575941518967731,0
COURT_vnc_ABDNM,720575941623911562,0
COURT_vnc_ABDNM,720575941556990735,0
COURT_vnc_ABDNM,720575941619311487,0
COURT_vnc_ABDNM,720575941480115363,0
COURT_vnc_ABDNM,720575941453830637,0
COURT_vnc_ABDNM,720575941644480200,0
COURT_vnc_ABDNM,720575941431025249,0
COURT_vnc_ABDNM,720575941639588127,0
COURT_vnc_ABDNM,720575941518927214,0
COURT_vnc_ABDNM,720575941512496716,0
COURT_vnc_ABDNM,720575941536301288,0
COURT_vnc_ABDNM,720575941573980829,514
COURT_vnc_ABDNM,720575941407602479,0
COURT_vnc_ABDNM,720575941591750952,0
COURT_vnc_ABDNM,720575941732059435,0
COURT_vnc_ABDNM,720575941628867042,10
COURT_vnc_ABDNM,720575941496838881,0
COURT_vnc_ABDNM,720575941644578209,0
COURT_vnc_ABDNM,720575941640075551,0
COURT_vnc_ABDNM,720575941477013825,13
COURT_vnc_ABDNM,720575941542733573,0
COURT_vnc_ABDNM,720575941522330871,0
COURT_vnc_ABDNM,720575941559098157,92
COURT_vnc_ABDNM,720575941543771909,0
COURT_vnc_ABDNM,720575941631060972,0
COURT_vnc_ABDNM,720575941618841215,0
COURT_vnc_ABDNM,720575941543678213,0
COURT_vnc_ABDNM,720575941564022423,0
COURT_vnc_ABDNM,720575941534435338,0
COURT_vnc_ABDNM,720575941535000291,0
COURT_vnc_ABDNM,720575941616419541,0
COURT_vnc_ABDNM,720575941392371716,189
COURT_vnc_ABDNM,720575941628231138,0
COURT_vnc_ABDNM,720575941413914260,654
COURT_vnc_ABDNM,720575941614580437,1426
COURT_vnc_ABDNM,720575941468213725,122
COURT_vnc_ABDNM,720575941607150445,0
COURT_vnc_ABDNM,720575941514358675,0
COURT_vnc_ABDNM,720575941632167611,0
COURT_vnc_ABDNM,720575941627572025,0
COURT_vnc_ABDNM,720575941505415484,0
COURT_vnc_ABDNM,720575941439325525,0
COURT_vnc_ABDNM,720575941722218042,3184
COURT_vnc_ABDNM,720575941574702184,0
COURT_vnc_ABDNM,720575941585238494,0
COURT_vnc_ABDNM,720575941476141377,0
COURT_vnc_ABDNM,720575941588563780,429
COURT_vnc_ABDNM,720575941609605706,16
COURT_vnc_ABDNM,720575941437130463,0
COURT_vnc_ABDNM,720575941518404974,0
COURT_vnc_ABDNM,720575941528493700,0
